MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20241231,18163,Vanderburgh County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20241224,18163,Vanderburgh County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-12-24,2024-12-30,1
20241217,18163,Vanderburgh County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-12-17,2024-12-23,1
20241210,18163,Vanderburgh County,IN,95.43,4.57,0.00,0.00,0.00,0.00,2024-12-10,2024-12-16,1
20241203,18163,Vanderburgh County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-12-03,2024-12-09,1
20241126,18163,Vanderburgh County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-11-26,2024-12-02,1
20241119,18163,Vanderburgh County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-11-19,2024-11-25,1
20241112,18163,Vanderburgh County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-11-12,2024-11-18,1
20241105,18163,Vanderburgh County,IN,0.00,100.00,0.00,0.00,0.00,0.00,2024-11-05,2024-11-11,1
20241029,18163,Vanderburgh County,IN,0.00,100.00,0.00,0.00,0.00,0.00,2024-10-29,2024-11-04,1
20241022,18163,Vanderburgh County,IN,27.62,72.38,0.00,0.00,0.00,0.00,2024-10-22,2024-10-28,1
20241015,18163,Vanderburgh County,IN,27.62,72.38,0.00,0.00,0.00,0.00,2024-10-15,2024-10-21,1
20241008,18163,Vanderburgh County,IN,27.62,72.38,0.00,0.00,0.00,0.00,2024-10-08,2024-10-14,1
20241001,18163,Vanderburgh County,IN,24.61,75.39,0.00,0.00,0.00,0.00,2024-10-01,2024-10-07,1
20240924,18163,Vanderburgh County,IN,0.00,100.00,100.00,85.70,0.00,0.00,2024-09-24,2024-09-30,1
20240917,18163,Vanderburgh County,IN,0.00,100.00,100.00,88.99,0.00,0.00,2024-09-17,2024-09-23,1
20240910,18163,Vanderburgh County,IN,0.00,100.00,100.00,71.18,0.00,0.00,2024-09-10,2024-09-16,1
20240903,18163,Vanderburgh County,IN,0.00,100.00,100.00,0.00,0.00,0.00,2024-09-03,2024-09-09,1
20240827,18163,Vanderburgh County,IN,0.00,100.00,0.00,0.00,0.00,0.00,2024-08-27,2024-09-02,1
