MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20241231,17057,Fulton County,IL,0.00,100.00,0.00,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20241224,17057,Fulton County,IL,0.00,100.00,1.76,0.00,0.00,0.00,2024-12-24,2024-12-30,1
20241217,17057,Fulton County,IL,0.00,100.00,1.76,0.00,0.00,0.00,2024-12-17,2024-12-23,1
20241210,17057,Fulton County,IL,0.00,100.00,2.75,0.00,0.00,0.00,2024-12-10,2024-12-16,1
20241203,17057,Fulton County,IL,0.00,100.00,1.83,0.00,0.00,0.00,2024-12-03,2024-12-09,1
20241126,17057,Fulton County,IL,0.00,100.00,0.00,0.00,0.00,0.00,2024-11-26,2024-12-02,1
20241119,17057,Fulton County,IL,0.00,100.00,73.40,0.00,0.00,0.00,2024-11-19,2024-11-25,1
20241112,17057,Fulton County,IL,0.00,100.00,73.08,0.00,0.00,0.00,2024-11-12,2024-11-18,1
20241105,17057,Fulton County,IL,0.00,100.00,100.00,0.00,0.00,0.00,2024-11-05,2024-11-11,1
20241029,17057,Fulton County,IL,0.00,100.00,100.00,0.00,0.00,0.00,2024-10-29,2024-11-04,1
20241022,17057,Fulton County,IL,0.00,100.00,100.00,0.00,0.00,0.00,2024-10-22,2024-10-28,1
20241015,17057,Fulton County,IL,0.00,100.00,0.00,0.00,0.00,0.00,2024-10-15,2024-10-21,1
20241008,17057,Fulton County,IL,0.00,100.00,0.00,0.00,0.00,0.00,2024-10-08,2024-10-14,1
20241001,17057,Fulton County,IL,0.00,100.00,63.67,0.00,0.00,0.00,2024-10-01,2024-10-07,1
20240924,17057,Fulton County,IL,0.00,100.00,63.67,0.00,0.00,0.00,2024-09-24,2024-09-30,1
20240917,17057,Fulton County,IL,0.00,100.00,63.67,0.00,0.00,0.00,2024-09-17,2024-09-23,1
20240910,17057,Fulton County,IL,0.30,99.70,0.00,0.00,0.00,0.00,2024-09-10,2024-09-16,1
20240903,17057,Fulton County,IL,25.48,74.52,0.00,0.00,0.00,0.00,2024-09-03,2024-09-09,1
20240827,17057,Fulton County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-27,2024-09-02,1
20240820,17057,Fulton County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-20,2024-08-26,1
20240813,17057,Fulton County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-13,2024-08-19,1
20240806,17057,Fulton County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-06,2024-08-12,1
20240730,17057,Fulton County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-30,2024-08-05,1
20240723,17057,Fulton County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-23,2024-07-29,1
20240716,17057,Fulton County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-16,2024-07-22,1
20240709,17057,Fulton County,IL,25.46,74.54,0.00,0.00,0.00,0.00,2024-07-09,2024-07-15,1
20240702,17057,Fulton County,IL,15.17,84.83,3.70,0.00,0.00,0.00,2024-07-02,2024-07-08,1
20240625,17057,Fulton County,IL,0.00,100.00,0.00,0.00,0.00,0.00,2024-06-25,2024-07-01,1
20240618,17057,Fulton County,IL,0.00,100.00,0.00,0.00,0.00,0.00,2024-06-18,2024-06-24,1
20240611,17057,Fulton County,IL,18.49,81.51,0.00,0.00,0.00,0.00,2024-06-11,2024-06-17,1
20240604,17057,Fulton County,IL,60.06,39.94,0.00,0.00,0.00,0.00,2024-06-04,2024-06-10,1
20240528,17057,Fulton County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-28,2024-06-03,1
20240521,17057,Fulton County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-21,2024-05-27,1
20240514,17057,Fulton County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-14,2024-05-20,1
20240507,17057,Fulton County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-07,2024-05-13,1
20240430,17057,Fulton County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-30,2024-05-06,1
20240423,17057,Fulton County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-23,2024-04-29,1
20240416,17057,Fulton County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-16,2024-04-22,1
20240409,17057,Fulton County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-09,2024-04-15,1
20240402,17057,Fulton County,IL,83.49,16.51,0.00,0.00,0.00,0.00,2024-04-02,2024-04-08,1
20240326,17057,Fulton County,IL,84.49,15.51,0.00,0.00,0.00,0.00,2024-03-26,2024-04-01,1
20240319,17057,Fulton County,IL,5.83,94.17,0.00,0.00,0.00,0.00,2024-03-19,2024-03-25,1
20240312,17057,Fulton County,IL,5.20,94.80,0.00,0.00,0.00,0.00,2024-03-12,2024-03-18,1
20240305,17057,Fulton County,IL,2.47,97.53,0.00,0.00,0.00,0.00,2024-03-05,2024-03-11,1
20240227,17057,Fulton County,IL,0.00,100.00,0.00,0.00,0.00,0.00,2024-02-27,2024-03-04,1
20240220,17057,Fulton County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-02-20,2024-02-26,1
20240213,17057,Fulton County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-02-13,2024-02-19,1
20240206,17057,Fulton County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-02-06,2024-02-12,1
20240130,17057,Fulton County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-01-30,2024-02-05,1
20240123,17057,Fulton County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-01-23,2024-01-29,1
20240116,17057,Fulton County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-01-16,2024-01-22,1
20240109,17057,Fulton County,IL,80.36,19.64,0.00,0.00,0.00,0.00,2024-01-09,2024-01-15,1
20240102,17057,Fulton County,IL,80.36,19.64,0.00,0.00,0.00,0.00,2024-01-02,2024-01-08,1
20231226,17057,Fulton County,IL,74.13,25.87,0.00,0.00,0.00,0.00,2023-12-26,2024-01-01,1
20231219,17057,Fulton County,IL,50.38,49.62,0.19,0.00,0.00,0.00,2023-12-19,2023-12-25,1
20231212,17057,Fulton County,IL,8.85,91.15,0.19,0.00,0.00,0.00,2023-12-12,2023-12-18,1
20231205,17057,Fulton County,IL,8.85,91.15,0.19,0.00,0.00,0.00,2023-12-05,2023-12-11,1
20231128,17057,Fulton County,IL,7.29,92.71,0.21,0.00,0.00,0.00,2023-11-28,2023-12-04,1
20231121,17057,Fulton County,IL,7.29,92.71,0.21,0.00,0.00,0.00,2023-11-21,2023-11-27,1
20231114,17057,Fulton County,IL,7.29,92.71,0.00,0.00,0.00,0.00,2023-11-14,2023-11-20,1
