MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20241231,18017,Cass County,IN,0.00,100.00,100.00,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20241224,18017,Cass County,IN,0.00,100.00,100.00,100.00,0.00,0.00,2024-12-24,2024-12-30,1
20241217,18017,Cass County,IN,0.00,100.00,100.00,100.00,0.00,0.00,2024-12-17,2024-12-23,1
20241210,18017,Cass County,IN,0.00,100.00,100.00,100.00,0.00,0.00,2024-12-10,2024-12-16,1
20241203,18017,Cass County,IN,0.00,100.00,100.00,99.49,0.00,0.00,2024-12-03,2024-12-09,1
20241126,18017,Cass County,IN,0.00,100.00,100.00,99.49,0.00,0.00,2024-11-26,2024-12-02,1
20241119,18017,Cass County,IN,0.00,100.00,100.00,99.49,0.00,0.00,2024-11-19,2024-11-25,1
20241112,18017,Cass County,IN,0.00,100.00,100.00,99.49,0.00,0.00,2024-11-12,2024-11-18,1
20241105,18017,Cass County,IN,0.00,100.00,100.00,99.49,0.00,0.00,2024-11-05,2024-11-11,1
20241029,18017,Cass County,IN,0.00,100.00,100.00,99.49,0.00,0.00,2024-10-29,2024-11-04,1
20241022,18017,Cass County,IN,0.00,100.00,100.00,77.95,0.00,0.00,2024-10-22,2024-10-28,1
20241015,18017,Cass County,IN,0.00,100.00,100.00,15.88,0.00,0.00,2024-10-15,2024-10-21,1
20241008,18017,Cass County,IN,0.00,100.00,96.26,0.00,0.00,0.00,2024-10-08,2024-10-14,1
20241001,18017,Cass County,IN,0.00,100.00,0.00,0.00,0.00,0.00,2024-10-01,2024-10-07,1
20240924,18017,Cass County,IN,0.00,100.00,0.00,0.00,0.00,0.00,2024-09-24,2024-09-30,1
20240917,18017,Cass County,IN,0.00,100.00,0.00,0.00,0.00,0.00,2024-09-17,2024-09-23,1
20240910,18017,Cass County,IN,0.00,100.00,0.00,0.00,0.00,0.00,2024-09-10,2024-09-16,1
20240903,18017,Cass County,IN,6.59,93.41,0.00,0.00,0.00,0.00,2024-09-03,2024-09-09,1
20240827,18017,Cass County,IN,7.80,92.20,0.00,0.00,0.00,0.00,2024-08-27,2024-09-02,1
20240820,18017,Cass County,IN,57.83,42.17,0.00,0.00,0.00,0.00,2024-08-20,2024-08-26,1
20240813,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-13,2024-08-19,1
20240806,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-06,2024-08-12,1
20240730,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-30,2024-08-05,1
20240723,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-23,2024-07-29,1
20240716,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-16,2024-07-22,1
20240709,18017,Cass County,IN,99.97,0.03,0.00,0.00,0.00,0.00,2024-07-09,2024-07-15,1
20240702,18017,Cass County,IN,99.96,0.04,0.00,0.00,0.00,0.00,2024-07-02,2024-07-08,1
20240625,18017,Cass County,IN,39.61,60.39,0.00,0.00,0.00,0.00,2024-06-25,2024-07-01,1
20240618,18017,Cass County,IN,51.77,48.23,0.00,0.00,0.00,0.00,2024-06-18,2024-06-24,1
20240611,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-11,2024-06-17,1
20240604,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-04,2024-06-10,1
20240528,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-28,2024-06-03,1
20240521,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-21,2024-05-27,1
20240514,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-14,2024-05-20,1
20240507,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-07,2024-05-13,1
20240430,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-30,2024-05-06,1
20240423,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-23,2024-04-29,1
20240416,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-16,2024-04-22,1
20240409,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-09,2024-04-15,1
20240402,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-02,2024-04-08,1
20240326,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-26,2024-04-01,1
20240319,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-19,2024-03-25,1
20240312,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-12,2024-03-18,1
20240305,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-05,2024-03-11,1
20240227,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-02-27,2024-03-04,1
20240220,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-02-20,2024-02-26,1
20240213,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-02-13,2024-02-19,1
20240206,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-02-06,2024-02-12,1
20240130,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2024-01-30,2024-02-05,1
20240123,18017,Cass County,IN,63.53,36.47,0.00,0.00,0.00,0.00,2024-01-23,2024-01-29,1
20240116,18017,Cass County,IN,62.72,37.28,0.00,0.00,0.00,0.00,2024-01-16,2024-01-22,1
20240109,18017,Cass County,IN,0.00,100.00,37.28,0.00,0.00,0.00,2024-01-09,2024-01-15,1
20240102,18017,Cass County,IN,0.00,100.00,37.28,0.00,0.00,0.00,2024-01-02,2024-01-08,1
20231226,18017,Cass County,IN,0.00,100.00,99.00,0.00,0.00,0.00,2023-12-26,2024-01-01,1
20231219,18017,Cass County,IN,0.00,100.00,99.00,0.00,0.00,0.00,2023-12-19,2023-12-25,1
20231212,18017,Cass County,IN,0.00,100.00,0.00,0.00,0.00,0.00,2023-12-12,2023-12-18,1
20231205,18017,Cass County,IN,0.00,100.00,0.00,0.00,0.00,0.00,2023-12-05,2023-12-11,1
20231128,18017,Cass County,IN,0.00,100.00,0.00,0.00,0.00,0.00,2023-11-28,2023-12-04,1
20231121,18017,Cass County,IN,1.74,98.26,0.00,0.00,0.00,0.00,2023-11-21,2023-11-27,1
20231114,18017,Cass County,IN,53.46,46.54,0.00,0.00,0.00,0.00,2023-11-14,2023-11-20,1
20231107,18017,Cass County,IN,82.38,17.62,0.00,0.00,0.00,0.00,2023-11-07,2023-11-13,1
20231031,18017,Cass County,IN,82.01,17.99,0.00,0.00,0.00,0.00,2023-10-31,2023-11-06,1
20231024,18017,Cass County,IN,1.22,98.78,18.31,0.00,0.00,0.00,2023-10-24,2023-10-30,1
20231017,18017,Cass County,IN,0.00,100.00,18.31,0.00,0.00,0.00,2023-10-17,2023-10-23,1
20231010,18017,Cass County,IN,0.00,100.00,100.00,0.00,0.00,0.00,2023-10-10,2023-10-16,1
20231003,18017,Cass County,IN,0.00,100.00,100.00,0.00,0.00,0.00,2023-10-03,2023-10-09,1
20230926,18017,Cass County,IN,0.00,100.00,100.00,0.00,0.00,0.00,2023-09-26,2023-10-02,1
20230919,18017,Cass County,IN,0.00,100.00,100.00,0.00,0.00,0.00,2023-09-19,2023-09-25,1
20230912,18017,Cass County,IN,0.00,100.00,0.00,0.00,0.00,0.00,2023-09-12,2023-09-18,1
20230905,18017,Cass County,IN,81.99,18.01,0.00,0.00,0.00,0.00,2023-09-05,2023-09-11,1
20230829,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2023-08-29,2023-09-04,1
20230822,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2023-08-22,2023-08-28,1
20230815,18017,Cass County,IN,100.00,0.00,0.00,0.00,0.00,0.00,2023-08-15,2023-08-21,1
20230808,18017,Cass County,IN,21.74,78.26,0.00,0.00,0.00,0.00,2023-08-08,2023-08-14,1
20230801,18017,Cass County,IN,2.67,97.33,76.45,0.00,0.00,0.00,2023-08-01,2023-08-07,1
20230725,18017,Cass County,IN,0.00,100.00,97.33,0.00,0.00,0.00,2023-07-25,2023-07-31,1
20230718,18017,Cass County,IN,0.00,100.00,78.05,0.00,0.00,0.00,2023-07-18,2023-07-24,1
20230711,18017,Cass County,IN,0.00,100.00,100.00,78.91,0.00,0.00,2023-07-11,2023-07-17,1
20230704,18017,Cass County,IN,0.00,100.00,100.00,78.91,0.00,0.00,2023-07-04,2023-07-10,1
20230627,18017,Cass County,IN,0.00,100.00,100.00,80.32,0.00,0.00,2023-06-27,2023-07-03,1
20230620,18017,Cass County,IN,0.00,100.00,100.00,0.00,0.00,0.00,2023-06-20,2023-06-26,1
