MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20241231,45033,Dillon County,SC,0.00,100.00,100.00,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20241224,45033,Dillon County,SC,0.00,100.00,100.00,0.00,0.00,0.00,2024-12-24,2024-12-30,1
20241217,45033,Dillon County,SC,0.00,100.00,100.00,0.00,0.00,0.00,2024-12-17,2024-12-23,1
20241210,45033,Dillon County,SC,0.00,100.00,100.00,0.00,0.00,0.00,2024-12-10,2024-12-16,1
20241203,45033,Dillon County,SC,0.00,100.00,100.00,0.00,0.00,0.00,2024-12-03,2024-12-09,1
20241126,45033,Dillon County,SC,0.00,100.00,0.64,0.00,0.00,0.00,2024-11-26,2024-12-02,1
20241119,45033,Dillon County,SC,0.00,100.00,0.64,0.00,0.00,0.00,2024-11-19,2024-11-25,1
20241112,45033,Dillon County,SC,0.00,100.00,28.78,0.00,0.00,0.00,2024-11-12,2024-11-18,1
20241105,45033,Dillon County,SC,0.00,100.00,0.00,0.00,0.00,0.00,2024-11-05,2024-11-11,1
20241029,45033,Dillon County,SC,0.00,100.00,0.00,0.00,0.00,0.00,2024-10-29,2024-11-04,1
20241022,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-10-22,2024-10-28,1
20241015,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-10-15,2024-10-21,1
20241008,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-10-08,2024-10-14,1
20241001,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-10-01,2024-10-07,1
20240924,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-09-24,2024-09-30,1
20240917,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-09-17,2024-09-23,1
20240910,45033,Dillon County,SC,93.20,6.80,0.00,0.00,0.00,0.00,2024-09-10,2024-09-16,1
20240903,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-09-03,2024-09-09,1
20240827,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-27,2024-09-02,1
20240820,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-20,2024-08-26,1
20240813,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-13,2024-08-19,1
20240806,45033,Dillon County,SC,0.00,100.00,6.20,0.00,0.00,0.00,2024-08-06,2024-08-12,1
20240730,45033,Dillon County,SC,0.00,100.00,100.00,6.07,0.00,0.00,2024-07-30,2024-08-05,1
20240723,45033,Dillon County,SC,0.00,100.00,100.00,100.00,4.08,0.00,2024-07-23,2024-07-29,1
20240716,45033,Dillon County,SC,0.00,100.00,100.00,100.00,6.66,0.00,2024-07-16,2024-07-22,1
20240709,45033,Dillon County,SC,0.00,100.00,100.00,100.00,0.00,0.00,2024-07-09,2024-07-15,1
20240702,45033,Dillon County,SC,0.00,100.00,100.00,10.37,0.00,0.00,2024-07-02,2024-07-08,1
20240625,45033,Dillon County,SC,0.00,100.00,45.78,0.00,0.00,0.00,2024-06-25,2024-07-01,1
20240618,45033,Dillon County,SC,54.22,45.78,0.00,0.00,0.00,0.00,2024-06-18,2024-06-24,1
20240611,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-11,2024-06-17,1
20240604,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-04,2024-06-10,1
20240528,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-28,2024-06-03,1
20240521,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-21,2024-05-27,1
20240514,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-14,2024-05-20,1
20240507,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-07,2024-05-13,1
20240430,45033,Dillon County,SC,99.68,0.32,0.00,0.00,0.00,0.00,2024-04-30,2024-05-06,1
20240423,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-23,2024-04-29,1
20240416,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-16,2024-04-22,1
20240409,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-09,2024-04-15,1
20240402,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-02,2024-04-08,1
20240326,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-26,2024-04-01,1
20240319,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-19,2024-03-25,1
20240312,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-12,2024-03-18,1
20240305,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-05,2024-03-11,1
20240227,45033,Dillon County,SC,91.10,8.90,0.00,0.00,0.00,0.00,2024-02-27,2024-03-04,1
20240220,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-02-20,2024-02-26,1
20240213,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-02-13,2024-02-19,1
20240206,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-02-06,2024-02-12,1
20240130,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-01-30,2024-02-05,1
20240123,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-01-23,2024-01-29,1
20240116,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-01-16,2024-01-22,1
20240109,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-01-09,2024-01-15,1
20240102,45033,Dillon County,SC,0.00,100.00,0.00,0.00,0.00,0.00,2024-01-02,2024-01-08,1
20231226,45033,Dillon County,SC,0.00,100.00,0.00,0.00,0.00,0.00,2023-12-26,2024-01-01,1
20231219,45033,Dillon County,SC,0.00,100.00,0.00,0.00,0.00,0.00,2023-12-19,2023-12-25,1
20231212,45033,Dillon County,SC,0.00,100.00,100.00,0.00,0.00,0.00,2023-12-12,2023-12-18,1
20231205,45033,Dillon County,SC,0.00,100.00,68.84,0.00,0.00,0.00,2023-12-05,2023-12-11,1
20231128,45033,Dillon County,SC,0.00,100.00,68.25,0.00,0.00,0.00,2023-11-28,2023-12-04,1
20231121,45033,Dillon County,SC,0.00,100.00,100.00,66.77,0.00,0.00,2023-11-21,2023-11-27,1
20231114,45033,Dillon County,SC,0.00,100.00,100.00,66.77,0.00,0.00,2023-11-14,2023-11-20,1
20231107,45033,Dillon County,SC,0.00,100.00,100.00,66.77,0.00,0.00,2023-11-07,2023-11-13,1
20231031,45033,Dillon County,SC,0.00,100.00,76.69,0.00,0.00,0.00,2023-10-31,2023-11-06,1
20231024,45033,Dillon County,SC,24.18,75.82,0.00,0.00,0.00,0.00,2023-10-24,2023-10-30,1
20231017,45033,Dillon County,SC,24.18,75.82,0.00,0.00,0.00,0.00,2023-10-17,2023-10-23,1
20231010,45033,Dillon County,SC,88.10,11.90,0.00,0.00,0.00,0.00,2023-10-10,2023-10-16,1
20231003,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-10-03,2023-10-09,1
20230926,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-09-26,2023-10-02,1
20230919,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-09-19,2023-09-25,1
20230912,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-09-12,2023-09-18,1
20230905,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-09-05,2023-09-11,1
20230829,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-08-29,2023-09-04,1
20230822,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-08-22,2023-08-28,1
20230815,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-08-15,2023-08-21,1
20230808,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-08-08,2023-08-14,1
20230801,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-08-01,2023-08-07,1
20230725,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-07-25,2023-07-31,1
20230718,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-07-18,2023-07-24,1
20230711,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-07-11,2023-07-17,1
20230704,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-07-04,2023-07-10,1
20230627,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-06-27,2023-07-03,1
20230620,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-06-20,2023-06-26,1
20230613,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-06-13,2023-06-19,1
20230606,45033,Dillon County,SC,99.32,0.68,0.00,0.00,0.00,0.00,2023-06-06,2023-06-12,1
20230530,45033,Dillon County,SC,99.32,0.68,0.00,0.00,0.00,0.00,2023-05-30,2023-06-05,1
20230523,45033,Dillon County,SC,99.32,0.68,0.00,0.00,0.00,0.00,2023-05-23,2023-05-29,1
20230516,45033,Dillon County,SC,99.32,0.68,0.00,0.00,0.00,0.00,2023-05-16,2023-05-22,1
20230509,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-05-09,2023-05-15,1
20230502,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-05-02,2023-05-08,1
20230425,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,1
20230418,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-04-18,2023-04-24,1
20230411,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-04-11,2023-04-17,1
20230404,45033,Dillon County,SC,17.01,82.99,0.00,0.00,0.00,0.00,2023-04-04,2023-04-10,1
20230328,45033,Dillon County,SC,18.36,81.64,0.00,0.00,0.00,0.00,2023-03-28,2023-04-03,1
20230321,45033,Dillon County,SC,0.00,100.00,0.00,0.00,0.00,0.00,2023-03-21,2023-03-27,1
20230314,45033,Dillon County,SC,61.87,38.13,0.00,0.00,0.00,0.00,2023-03-14,2023-03-20,1
20230307,45033,Dillon County,SC,61.87,38.13,0.00,0.00,0.00,0.00,2023-03-07,2023-03-13,1
20230228,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-02-28,2023-03-06,1
20230221,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-02-21,2023-02-27,1
20230214,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-02-14,2023-02-20,1
20230207,45033,Dillon County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2023-02-07,2023-02-13,1
20230131,45033,Dillon County,SC,79.40,20.60,0.00,0.00,0.00,0.00,2023-01-31,2023-02-06,1
20230124,45033,Dillon County,SC,0.00,100.00,0.00,0.00,0.00,0.00,2023-01-24,2023-01-30,1
20230117,45033,Dillon County,SC,0.00,100.00,80.51,0.00,0.00,0.00,2023-01-17,2023-01-23,1
